# Разрез Search Console по page, окно 2026-06-19..2026-09-16. Показов в разрезе 20581 из 19742 в итоге (104%): остальное Google не отдаёт по анонимизации, и это не потеря данных, а её предел
# Снято ботом 2026-09-17. Правки руками будут стёрты следующим прогоном.
site,page,impressions,clicks,ctr,position
mileagecurve,https://mileagecurve.com/chevrolet-equinox-2010-2017/,6,0,0.0,6.2
mileagecurve,https://mileagecurve.com/chevrolet-equinox-2018-2024/,36,0,0.0,41.2
mileagecurve,https://mileagecurve.com/chevrolet-impala-2006-2013/,9,0,0.0,7.2
mileagecurve,https://mileagecurve.com/chevrolet-silverado-1500-1999-2006/,1,0,0.0,9.0
mileagecurve,https://mileagecurve.com/chevrolet-silverado-1500-2014-2018/,2,0,0.0,3.0
mileagecurve,https://mileagecurve.com/chevrolet-suburban-2000-2006/,2,0,0.0,27.0
mileagecurve,https://mileagecurve.com/chevrolet-suburban-2007-2014/,3,0,0.0,5.7
mileagecurve,https://mileagecurve.com/chevrolet-suburban-2015-2020/,4,0,0.0,4.8
mileagecurve,https://mileagecurve.com/chevrolet-tahoe-1995-1999/,1,0,0.0,25.0
mileagecurve,https://mileagecurve.com/chevrolet-tahoe-2007-2014/,5,0,0.0,4.2
mileagecurve,https://mileagecurve.com/chevrolet-tahoe-2015-2020/,5,0,0.0,14.0
mileagecurve,https://mileagecurve.com/chevrolet-tahoe-2021-2025/,46,0,0.0,21.9
mileagecurve,https://mileagecurve.com/chevrolet-trailblazer-2002-2009/,36,0,0.0,44.0
mileagecurve,https://mileagecurve.com/chevrolet-traverse-2009-2017/,2,0,0.0,10.0
mileagecurve,https://mileagecurve.com/chrysler-200-2011-2014/,3,0,0.0,8.3
mileagecurve,https://mileagecurve.com/chrysler-pacifica-2004-2008/,43,0,0.0,45.5
mileagecurve,https://mileagecurve.com/chrysler-town-and-country-2001-2007/,35,0,0.0,47.4
mileagecurve,https://mileagecurve.com/chrysler/,4,0,0.0,35.0
mileagecurve,https://mileagecurve.com/dodge-charger-2006-2010/,4,0,0.0,9.2
mileagecurve,https://mileagecurve.com/dodge-durango-1998-2003/,27,0,0.0,21.3
mileagecurve,https://mileagecurve.com/dodge-grand-caravan-2001-2007/,50,0,0.0,48.2
mileagecurve,https://mileagecurve.com/dodge-grand-caravan-2008-2020/,13,0,0.0,8.8
mileagecurve,https://mileagecurve.com/dodge-journey-2009-2020/,2,0,0.0,7.5
mileagecurve,https://mileagecurve.com/dodge-ram-1500-1994-2001/,1,0,0.0,11.0
mileagecurve,https://mileagecurve.com/dodge-ram-1500-2002-2008/,14,0,0.0,44.8
mileagecurve,https://mileagecurve.com/dodge/,43,0,0.0,50.2
mileagecurve,https://mileagecurve.com/ford-escape-2001-2007/,3,0,0.0,15.7
mileagecurve,https://mileagecurve.com/ford-expedition-2003-2006/,7,0,0.0,30.7
mileagecurve,https://mileagecurve.com/ford-expedition-2018-2024/,5,0,0.0,6.2
mileagecurve,https://mileagecurve.com/ford-explorer-1991-1994/,14,0,0.0,25.4
mileagecurve,https://mileagecurve.com/ford-explorer-2002-2005/,3,0,0.0,73.3
mileagecurve,https://mileagecurve.com/ford-explorer-2006-2010/,22,0,0.0,34.1
mileagecurve,https://mileagecurve.com/ford-explorer-2011-2019/,1,0,0.0,9.0
mileagecurve,https://mileagecurve.com/ford-explorer-2020-2025/,2,0,0.0,9.5
mileagecurve,https://mileagecurve.com/ford-f-150-1997-2003/,15,0,0.0,41.9
mileagecurve,https://mileagecurve.com/ford-f-150-2004-2008/,2,0,0.0,41.0
mileagecurve,https://mileagecurve.com/ford-f-150-2015-2020/,15,0,0.0,22.0
mileagecurve,https://mileagecurve.com/ford-f-150-2021-2025/,2,0,0.0,5.0
mileagecurve,https://mileagecurve.com/ford-focus-2000-2007/,17,0,0.0,36.9
mileagecurve,https://mileagecurve.com/ford-focus-2008-2011/,12,0,0.0,31.7
mileagecurve,https://mileagecurve.com/ford-fusion-2013-2020/,3,0,0.0,9.7
mileagecurve,https://mileagecurve.com/ford-mustang-2015-2023/,1,0,0.0,9.0
mileagecurve,https://mileagecurve.com/ford-ranger-1993-1997/,1,0,0.0,9.0
mileagecurve,https://mileagecurve.com/ford-ranger-1998-2011/,2,0,0.0,51.5
mileagecurve,https://mileagecurve.com/ford-ranger-2019-2023/,19,0,0.0,9.2
mileagecurve,https://mileagecurve.com/ford-taurus-1996-1999/,7,0,0.0,19.1
mileagecurve,https://mileagecurve.com/ford-taurus-2000-2007/,3,0,0.0,8.0
mileagecurve,https://mileagecurve.com/ford-taurus-2010-2019/,14,0,0.0,21.3
mileagecurve,https://mileagecurve.com/ford/,8,0,0.0,17.9
mileagecurve,https://mileagecurve.com/gmc-sierra-1500-2007-2013/,1,0,0.0,3.0
mileagecurve,https://mileagecurve.com/gmc-sierra-1500-2014-2018/,3,0,0.0,1.7
mileagecurve,https://mileagecurve.com/gmc-yukon-2007-2014/,5,0,0.0,13.4
mileagecurve,https://mileagecurve.com/gmc-yukon-2015-2020/,1,0,0.0,3.0
mileagecurve,https://mileagecurve.com/gmc/,3,0,0.0,5.0
mileagecurve,https://mileagecurve.com/honda-accord-1994-1997/,18,0,0.0,19.4
mileagecurve,https://mileagecurve.com/honda-accord-1998-2002/,1,0,0.0,7.0
mileagecurve,https://mileagecurve.com/honda-accord-2003-2007/,11,0,0.0,9.0
mileagecurve,https://mileagecurve.com/honda-accord-2013-2017/,4,0,0.0,15.2
mileagecurve,https://mileagecurve.com/honda-accord-2018-2022/,4,0,0.0,7.0
mileagecurve,https://mileagecurve.com/honda-civic-1996-2000/,25,0,0.0,47.8
mileagecurve,https://mileagecurve.com/honda-civic-2006-2011/,5,0,0.0,9.4
mileagecurve,https://mileagecurve.com/honda-civic-2012-2015/,4,0,0.0,7.5
mileagecurve,https://mileagecurve.com/honda-civic-2016-2021/,2,0,0.0,9.5
mileagecurve,https://mileagecurve.com/honda-civic-2022-2025/,11,0,0.0,17.7
mileagecurve,https://mileagecurve.com/honda-cr-v-1997-2001/,25,0,0.0,48.6
mileagecurve,https://mileagecurve.com/honda-cr-v-2007-2011/,38,0,0.0,42.2
mileagecurve,https://mileagecurve.com/honda-cr-v-2012-2016/,14,0,0.0,45.9
mileagecurve,https://mileagecurve.com/honda-fit-2009-2013/,15,0,0.0,54.7
mileagecurve,https://mileagecurve.com/honda-odyssey-1999-2004/,23,0,0.0,46.2
mileagecurve,https://mileagecurve.com/honda-odyssey-2005-2010/,2,0,0.0,22.5
mileagecurve,https://mileagecurve.com/honda-odyssey-2018-2025/,8,0,0.0,47.1
mileagecurve,https://mileagecurve.com/honda-pilot-2003-2008/,40,0,0.0,39.4
mileagecurve,https://mileagecurve.com/honda-pilot-2016-2022/,13,0,0.0,35.8
mileagecurve,https://mileagecurve.com/honda/,28,0,0.0,28.0
mileagecurve,https://mileagecurve.com/hyundai-accent-2006-2011/,1,0,0.0,10.0
mileagecurve,https://mileagecurve.com/hyundai-santa-fe-2001-2006/,41,0,0.0,48.5
mileagecurve,https://mileagecurve.com/hyundai-santa-fe-2013-2018/,4,0,0.0,9.8
mileagecurve,https://mileagecurve.com/hyundai-tucson-2010-2015/,17,0,0.0,30.9
mileagecurve,https://mileagecurve.com/hyundai-tucson-2022-2025/,9,0,0.0,10.7
mileagecurve,https://mileagecurve.com/hyundai/,33,0,0.0,38.8
mileagecurve,https://mileagecurve.com/infiniti-g35-2007-2008/,1,0,0.0,7.0
mileagecurve,https://mileagecurve.com/infiniti/,18,0,0.0,52.7
mileagecurve,https://mileagecurve.com/jeep-compass-2007-2016/,1,0,0.0,11.0
mileagecurve,https://mileagecurve.com/jeep-compass-2017-2025/,2,0,0.0,7.5
mileagecurve,https://mileagecurve.com/jeep-grand-cherokee-1993-1998/,21,0,0.0,50.4
mileagecurve,https://mileagecurve.com/jeep-grand-cherokee-2021-2025/,2,0,0.0,69.5
mileagecurve,https://mileagecurve.com/jeep-liberty-2008-2012/,60,0,0.0,43.1
mileagecurve,https://mileagecurve.com/jeep-wrangler-2018-2025/,2,0,0.0,8.0
mileagecurve,https://mileagecurve.com/kia-forte-2010-2013/,6,0,0.0,13.2
mileagecurve,https://mileagecurve.com/kia-forte-2014-2018/,1,0,0.0,9.0
mileagecurve,https://mileagecurve.com/kia-optima-2011-2015/,7,0,0.0,27.4
mileagecurve,https://mileagecurve.com/kia-sorento-2011-2015/,6,0,0.0,39.0
mileagecurve,https://mileagecurve.com/kia-sorento-2016-2020/,29,0,0.0,35.4
mileagecurve,https://mileagecurve.com/kia-soul-2020-2025/,42,0,0.0,30.6
mileagecurve,https://mileagecurve.com/kia-sportage-1995-2002/,20,0,0.0,61.4
mileagecurve,https://mileagecurve.com/kia-sportage-2005-2010/,15,0,0.0,39.5
mileagecurve,https://mileagecurve.com/kia-sportage-2011-2016/,1,0,0.0,5.0
mileagecurve,https://mileagecurve.com/kia-sportage-2017-2022/,14,0,0.0,38.4
mileagecurve,https://mileagecurve.com/kia/,25,0,0.0,27.5
mileagecurve,https://mileagecurve.com/lincoln-navigator-2007-2017/,1,0,0.0,97.0
mileagecurve,https://mileagecurve.com/mazda-cx-9-2016-2023/,1,0,0.0,10.0
mileagecurve,https://mileagecurve.com/mazda-mazda3-2004-2009/,1,0,0.0,50.0
mileagecurve,https://mileagecurve.com/mazda-mazda3-2014-2018/,4,0,0.0,29.5
mileagecurve,https://mileagecurve.com/mercury-grand-marquis-1992-1997/,3,0,0.0,10.0
